frequency_hz,decibels
259.545685,91.569
261.426483,91.566
263.320862,91.572
265.229004,91.585
267.15097,91.586
269.086853,91.598
271.036774,91.621
273.000824,91.614
274.979095,91.619
276.97171,91.653
278.97876,91.635
281.000336,91.624
283.036591,91.673
285.087585,91.65
287.153442,91.644
289.234283,91.716
291.3302,91.666
293.441284,91.666
295.567688,91.756
297.709503,91.685
299.866821,91.716
302.039795,91.794
304.228485,91.708
306.433044,91.774
308.653595,91.82
310.890228,91.766
313.143066,91.843
315.412231,91.854
317.697845,91.835
320,91.889
322.318848,91.891
324.65451,91.9
327.00708,91.935
329.376709,91.917
331.763519,91.947
334.167603,91.985
336.589142,91.978
339.028198,92.034
341.484924,92.061
343.959473,92.055
346.451935,92.102
348.962463,92.102
351.491211,92.1
354.038239,92.139
356.60376,92.149
359.187866,92.169
361.79068,92.17
364.412354,92.242
367.05304,92.201
369.71286,92.238
372.391968,92.276
375.090454,92.27
377.808533,92.285
380.546265,92.35
383.303864,92.304
386.081451,92.361
388.87915,92.334
391.697144,92.343
394.535522,92.429
397.394501,92.298
400.27417,92.441
403.174744,92.431
406.096313,92.316
409.039062,92.385
412.003113,92.416
414.988647,92.359
417.99585,92.326
421.024811,92.402
424.075714,92.333
427.148743,92.278
430.244049,92.23
433.361786,92.22
436.502106,92.135
439.665161,92.123
442.851166,92.017
446.060242,92
449.292572,91.907
452.54834,91.941
455.827698,91.812
459.130798,91.808
462.457855,91.676
465.809021,91.702
469.184448,91.665
472.584381,91.644
476.008911,91.682
479.458252,91.698
482.932617,91.768
486.432159,91.778
489.957031,91.845
493.507477,91.914
497.083618,91.875
500.685699,92.01
504.313873,92.05
507.968323,92.045
511.649292,92.086
515.356934,92.119
519.09137,92.162
522.852966,92.205
526.641724,92.219
530.458008,92.237
534.301941,92.225
538.173706,92.249
542.073547,92.274
546.001648,92.294
549.958191,92.311
553.94342,92.337
557.95752,92.357
562.000671,92.388
566.073181,92.439
570.175171,92.389
574.306885,92.405
578.468567,92.398
582.6604,92.412
586.882568,92.438
591.135376,92.441
595.419006,92.494
599.733643,92.518
604.07959,92.52
608.45697,92.582
612.866089,92.612
617.30719,92.66
621.780457,92.678
626.286133,92.738
630.824463,92.763
635.395691,92.821
640,92.885
644.637695,92.922
649.309021,92.944
654.01416,92.978
658.753418,93.037
663.527039,93.088
668.335205,93.133
673.178284,93.201
678.056396,93.223
682.969849,93.27
687.918945,93.293
692.90387,93.278
697.924927,93.283
702.982422,93.208
708.076477,93.204
713.20752,93.174
718.375732,93.082
723.58136,93.033
728.824707,92.997
734.106079,92.9
739.42572,92.831
744.783936,92.7
750.180908,92.557
755.617065,92.47
761.092529,92.337
766.607727,92.244
772.162903,92.146
777.758301,92.126
783.394287,92.193
789.071045,92.319
794.789001,92.434
800.54834,92.546
806.349487,92.668
812.192627,92.802
818.078125,92.967
824.006226,93.078
829.977295,93.14
835.991699,93.209
842.049622,93.246
848.151428,93.317
854.297485,93.375
860.488098,93.445
866.723572,93.549
873.004211,93.615
879.330322,93.716
885.702332,93.786
892.120483,93.882
898.585144,93.937
905.09668,93.994
911.655396,94.087
918.261597,94.157
924.91571,94.197
931.618042,94.215
938.368896,94.228
945.168762,94.288
952.017822,94.305
958.916504,94.287
965.865234,94.295
972.864319,94.251
979.914062,94.23
987.014954,94.219
994.167236,94.199
1001.371399,94.223
1008.627747,94.208
1015.936646,94.1
1023.298584,94.043
1030.713867,93.967
1038.182739,93.735
1045.705933,93.551
1053.283447,93.335
1060.916016,93.171
1068.603882,93.178
1076.347412,93.279
1084.147095,93.233
1092.003296,93.225
1099.916382,93.144
1107.886841,93.091
1115.915039,92.913
1124.001343,92.959
1132.146362,93.07
1140.350342,93.128
1148.61377,92.948
1156.937134,92.897
1165.320801,92.955
1173.765137,92.982
1182.270752,92.945
1190.838013,92.957
1199.467285,93.117
1208.15918,93.233
1216.91394,93.427
1225.732178,93.508
1234.61438,93.573
1243.560913,93.628
1252.572266,93.458
1261.648926,93.35
1270.791382,93.385
1280,93.239
1289.275391,93.07
1298.618042,92.995
1308.02832,92.847
1317.506836,92.573
1327.054077,92.53
1336.67041,92.587
1346.356567,92.633
1356.112793,92.558
1365.939697,92.472
1375.837891,92.469
1385.807739,92.55
1395.849854,92.48
1405.964844,92.614
1416.152954,92.399
1426.415039,92.214
1436.751465,92.194
1447.16272,92.033
1457.649414,91.88
1468.212158,91.87
1478.85144,91.891
1489.567871,92.226
1500.361816,92.056
1511.234131,91.907
1522.185059,92.024
1533.215454,91.931
1544.325806,91.958
1555.516602,91.984
1566.788574,92.002
1578.14209,92.231
1589.578003,92.352
1601.09668,92.438
1612.698975,92.641
1624.385254,92.805
1636.15625,92.958
1648.012451,92.869
1659.95459,92.971
1671.983398,92.975
1684.099243,93.171
1696.302856,93.315
1708.594971,93.457
1720.976196,93.811
1733.447144,93.972
1746.008423,94.019
1758.660645,94.126
1771.404663,94.058
1784.240967,94.083
1797.170288,94.175
1810.193359,94.237
1823.310791,94.182
1836.523193,94.371
1849.831421,94.825
1863.236084,94.885
1876.737793,94.884
1890.337524,95.019
1904.035645,95.17
1917.833008,95.544
1931.730469,95.896
1945.728638,96.336
1959.828125,96.283
1974.029907,96.652
1988.334473,96.938
2002.742798,96.936
2017.255493,96.818
2031.873291,96.916
2046.597168,97.318
2061.427734,97.556
2076.365479,97.774
2091.411865,97.675
2106.566895,97.368
2121.832031,97.409
2137.207764,97.637
2152.694824,97.449
2168.294189,97.794
2184.006592,98.066
2199.832764,98.1
2215.773682,98.542
2231.830078,98.838
2248.002686,99.183
2264.292725,99.815
2280.700684,100.029
2297.227539,100.076
2313.874268,100.367
2330.641602,100.395
2347.530273,100.164
2364.541504,100.191
2381.676025,99.992
2398.93457,100.104
2416.318359,100.258
2433.827881,100.362
