frequency_hz,decibels
259.545685,91.438
261.426483,91.425
263.320862,91.414
265.229004,91.404
267.15097,91.394
269.086853,91.385
271.036774,91.375
273.000824,91.363
274.979095,91.35
276.97171,91.338
278.97876,91.327
281.000336,91.319
283.036591,91.313
285.087585,91.308
287.153442,91.304
289.234283,91.299
291.3302,91.295
293.441284,91.291
295.567688,91.288
297.709503,91.284
299.866821,91.281
302.039795,91.278
304.228485,91.275
306.433044,91.272
308.653595,91.271
310.890228,91.27
313.143066,91.271
315.412231,91.274
317.697845,91.277
320,91.281
322.318848,91.285
324.65451,91.289
327.00708,91.292
329.376709,91.296
331.763519,91.3
334.167603,91.305
336.589142,91.312
339.028198,91.32
341.484924,91.329
343.959473,91.337
346.451935,91.345
348.962463,91.352
351.491211,91.359
354.038239,91.367
356.60376,91.377
359.187866,91.387
361.79068,91.397
364.412354,91.408
367.05304,91.42
369.71286,91.432
372.391968,91.443
375.090454,91.455
377.808533,91.466
380.546265,91.478
383.303864,91.491
386.081451,91.505
388.87915,91.518
391.697144,91.531
394.535522,91.544
397.394501,91.558
400.27417,91.572
403.174744,91.589
406.096313,91.606
409.039062,91.623
412.003113,91.64
414.988647,91.656
417.99585,91.672
421.024811,91.689
424.075714,91.705
427.148743,91.722
430.244049,91.738
433.361786,91.755
436.502106,91.772
439.665161,91.789
442.851166,91.808
446.060242,91.826
449.292572,91.844
452.54834,91.861
455.827698,91.878
459.130798,91.897
462.457855,91.916
465.809021,91.935
469.184448,91.954
472.584381,91.972
476.008911,91.99
479.458252,92.008
482.932617,92.026
486.432159,92.044
489.957031,92.062
493.507477,92.08
497.083618,92.098
500.685699,92.116
504.313873,92.133
507.968323,92.151
511.649292,92.17
515.356934,92.188
519.09137,92.207
522.852966,92.225
526.641724,92.243
530.458008,92.261
534.301941,92.279
538.173706,92.296
542.073547,92.313
546.001648,92.33
549.958191,92.347
553.94342,92.365
557.95752,92.384
562.000671,92.404
566.073181,92.423
570.175171,92.442
574.306885,92.46
578.468567,92.476
582.6604,92.493
586.882568,92.508
591.135376,92.522
595.419006,92.535
599.733643,92.545
604.07959,92.553
608.45697,92.559
612.866089,92.564
617.30719,92.57
621.780457,92.578
626.286133,92.59
630.824463,92.605
635.395691,92.624
640,92.645
644.637695,92.666
649.309021,92.686
654.01416,92.705
658.753418,92.723
663.527039,92.741
668.335205,92.758
673.178284,92.775
678.056396,92.792
682.969849,92.808
687.918945,92.823
692.90387,92.837
697.924927,92.851
702.982422,92.864
708.076477,92.877
713.20752,92.89
718.375732,92.903
723.58136,92.916
728.824707,92.929
734.106079,92.942
739.42572,92.956
744.783936,92.969
750.180908,92.982
755.617065,92.996
761.092529,93.009
766.607727,93.024
772.162903,93.038
777.758301,93.053
783.394287,93.067
789.071045,93.081
794.789001,93.096
800.54834,93.111
806.349487,93.126
812.192627,93.142
818.078125,93.159
824.006226,93.177
829.977295,93.195
835.991699,93.213
842.049622,93.232
848.151428,93.251
854.297485,93.271
860.488098,93.291
866.723572,93.312
873.004211,93.334
879.330322,93.356
885.702332,93.379
892.120483,93.403
898.585144,93.427
905.09668,93.451
911.655396,93.476
918.261597,93.502
924.91571,93.529
931.618042,93.557
938.368896,93.585
945.168762,93.613
952.017822,93.643
958.916504,93.673
965.865234,93.703
972.864319,93.735
979.914062,93.767
987.014954,93.799
994.167236,93.833
1001.371399,93.867
1008.627747,93.901
1015.936646,93.936
1023.298584,93.971
1030.713867,94.006
1038.182739,94.043
1045.705933,94.079
1053.283447,94.116
1060.916016,94.153
1068.603882,94.19
1076.347412,94.228
1084.147095,94.266
1092.003296,94.304
1099.916382,94.341
1107.886841,94.379
1115.915039,94.417
1124.001343,94.455
1132.146362,94.494
1140.350342,94.532
1148.61377,94.57
1156.937134,94.607
1165.320801,94.645
1173.765137,94.682
1182.270752,94.719
1190.838013,94.757
1199.467285,94.793
1208.15918,94.83
1216.91394,94.866
1225.732178,94.902
1234.61438,94.937
1243.560913,94.973
1252.572266,95.009
1261.648926,95.044
1270.791382,95.079
1280,95.114
1289.275391,95.149
1298.618042,95.184
1308.02832,95.219
1317.506836,95.253
1327.054077,95.288
1336.67041,95.323
1346.356567,95.358
1356.112793,95.393
1365.939697,95.428
1375.837891,95.464
1385.807739,95.499
1395.849854,95.536
1405.964844,95.572
1416.152954,95.609
1426.415039,95.646
1436.751465,95.684
1447.16272,95.721
1457.649414,95.76
1468.212158,95.799
1478.85144,95.839
1489.567871,95.879
1500.361816,95.92
1511.234131,95.962
1522.185059,96.005
1533.215454,96.049
1544.325806,96.093
1555.516602,96.138
1566.788574,96.184
1578.14209,96.232
1589.578003,96.28
1601.09668,96.33
1612.698975,96.381
1624.385254,96.433
1636.15625,96.486
1648.012451,96.54
1659.95459,96.596
1671.983398,96.653
1684.099243,96.712
1696.302856,96.772
1708.594971,96.833
1720.976196,96.896
1733.447144,96.96
1746.008423,97.026
1758.660645,97.092
1771.404663,97.161
1784.240967,97.231
1797.170288,97.302
1810.193359,97.375
1823.310791,97.449
1836.523193,97.525
1849.831421,97.602
1863.236084,97.681
1876.737793,97.761
1890.337524,97.842
1904.035645,97.925
1917.833008,98.009
1931.730469,98.095
1945.728638,98.182
1959.828125,98.27
1974.029907,98.359
1988.334473,98.449
2002.742798,98.54
2017.255493,98.632
2031.873291,98.726
2046.597168,98.819
2061.427734,98.914
2076.365479,99.009
2091.411865,99.104
2106.566895,99.199
2121.832031,99.295
2137.207764,99.391
2152.694824,99.486
2168.294189,99.581
2184.006592,99.676
2199.832764,99.77
2215.773682,99.863
2231.830078,99.954
2248.002686,100.045
2264.292725,100.133
2280.700684,100.22
2297.227539,100.305
2313.874268,100.388
2330.641602,100.467
2347.530273,100.544
2364.541504,100.618
2381.676025,100.687
2398.93457,100.752
2416.318359,100.812
2433.827881,100.865
2451.464355,100.912
2469.22876,100.953
2487.121826,100.985
2505.144531,101.009
2523.297852,101.024
2541.582764,101.03
2560,101.026
2578.550781,101.012
2597.236084,100.987
2616.056641,100.951
2635.013672,100.905
2654.108154,100.847
2673.34082,100.78
2692.713135,100.702
2712.225586,100.616
2731.879395,100.522
2751.675781,100.42
2771.615479,100.312
2791.699707,100.199
2811.929688,100.081
2832.305908,99.96
2852.830078,99.836
2873.50293,99.71
2894.325439,99.584
2915.298828,99.457
2936.424316,99.331
2957.702881,99.205
2979.135742,99.082
3000.723633,98.959
3022.468262,98.84
3044.370117,98.722
3066.430908,98.608
3088.651611,98.496
3111.033203,98.389
3133.577148,98.284
3156.28418,98.184
3179.156006,98.087
3202.193359,97.994
3225.397949,97.906
3248.770508,97.822
3272.3125,97.743
3296.024902,97.668
3319.90918,97.598
3343.966797,97.533
3368.198486,97.472
3392.605713,97.417
3417.189941,97.367
3441.952393,97.323
3466.894287,97.285
3492.016846,97.252
3517.321289,97.226
3542.809326,97.206
3568.481934,97.192
3594.340576,97.184
3620.386719,97.184
3646.621582,97.189
3673.046387,97.2
3699.662842,97.217
3726.472168,97.238
3753.475586,97.264
3780.675049,97.295
3808.071289,97.331
3835.666016,97.371
3863.460938,97.418
3891.457275,97.469
3919.65625,97.526
3948.059814,97.589
3976.668945,97.657
4005.485596,97.729
4034.510986,97.805
4063.746582,97.885
4093.194336,97.965
4122.855469,98.046
4152.730957,98.126
4182.82373,98.202
4213.133789,98.273
4243.664062,98.337
4274.415527,98.39
4305.389648,98.43
4336.588379,98.454
4368.013184,98.459
4399.665527,98.443
4431.547363,98.403
4463.660156,98.336
4496.005371,98.242
4528.585449,98.12
4561.401367,97.97
4594.455078,97.792
4627.748535,97.59
4661.283203,97.366
4695.060547,97.124
4729.083008,96.867
4763.352051,96.602
4797.869141,96.331
4832.636719,96.06
4867.655762,95.793
4902.928711,95.531
4938.45752,95.278
4974.243652,95.035
5010.289062,94.801
5046.595703,94.577
5083.165527,94.36
5120,94.149
5157.101562,93.94
5194.472168,93.728
5232.113281,93.51
5270.027344,93.28
5308.216309,93.033
5346.681641,92.766
5385.42627,92.477
5424.451172,92.166
5463.758789,91.839
5503.351562,91.501
5543.230957,91.163
5583.399414,90.834
5623.859375,90.524
5664.611816,90.24
5705.660156,89.984
5747.005859,89.758
5788.650879,89.56
5830.597656,89.387
5872.848633,89.237
5915.405762,89.106
5958.271484,88.99
6001.447266,88.889
6044.936523,88.801
6088.740234,88.723
6132.861816,88.655
6177.303223,88.596
6222.066406,88.547
6267.154297,88.506
6312.568359,88.475
6358.312012,88.453
6404.386719,88.439
6450.795898,88.434
6497.541016,88.439
6544.625,88.453
6592.049805,88.478
6639.818359,88.513
6687.933594,88.559
6736.396973,88.617
6785.211426,88.687
6834.379883,88.77
6883.904785,88.866
6933.788574,88.977
6984.033691,89.104
7034.642578,89.247
7085.618652,89.407
7136.963867,89.587
7188.681152,89.785
7240.773438,90.002
7293.243164,90.234
7346.092773,90.479
7399.325684,90.731
7452.944336,90.989
7506.951172,91.251
7561.350098,91.519
7616.142578,91.795
7671.332031,92.086
7726.921875,92.396
7782.914551,92.725
7839.3125,93.068
7896.119629,93.418
7953.337891,93.763
8010.971191,94.095
8069.021973,94.402
8127.493164,94.675
8186.388672,94.907
8245.710938,95.09
8305.461914,95.219
8365.647461,95.29
8426.267578,95.302
8487.328125,95.258
8548.831055,95.16
8610.779297,95.016
8673.176758,94.832
8736.026367,94.617
8799.331055,94.378
8863.094727,94.124
8927.320312,93.863
8992.010742,93.601
9057.170898,93.344
9122.802734,93.097
9188.910156,92.863
9255.49707,92.646
9322.566406,92.45
9390.121094,92.274
9458.166016,92.122
9526.704102,91.993
9595.738281,91.89
9665.273438,91.813
9735.311523,91.763
9805.857422,91.739
9876.915039,91.743
9948.487305,91.774
10020.57813,91.83
10093.19141,91.912
10166.33106,92.017
10240,92.143
10314.20313,92.287
10388.94434,92.444
10464.22656,92.607
10540.05469,92.768
10616.43262,92.917
10693.36328,93.041
10770.85254,93.129
10848.90234,93.167
10927.51758,93.145
11006.70313,93.053
11086.46191,92.888
11166.79883,92.648
11247.71875,92.338
11329.22363,91.967
11411.32031,91.544
11494.01172,91.084
11577.30176,90.598
11661.19531,90.098
11745.69727,89.593
11830.81152,89.088
11916.54297,88.589
12002.89453,88.096
12089.87305,87.609
12177.48047,87.128
12265.72363,86.654
12354.60645,86.19
12444.13281,85.738
12534.30859,85.303
12625.13672,84.89
12716.62402,84.501
12808.77344,84.14
12901.5918,83.809
12995.08203,83.508
13089.25,83.236
13184.09961,82.995
13279.63672,82.785
13375.86719,82.607
13472.79395,82.461
13570.42285,82.349
13668.75977,82.27
13767.80957,82.225
